Poste_Origem,Poste_Destino,Distancia,Lat_Poste_Origem,Lon_Poste_Origem,Lat_Poste_Destino,Lon_Poste_Destino
08-01384    ,08-01385    ,12.387378687432507,-3.734294772471029,-38.535065184720814,-3.7342443089597435,-38.5351647880708
08-10281    ,08-10297    ,12.399450870105804,-3.739080294185734,-38.53918258627075,-3.738971359592033,-38.53920922467461
08-00448    ,08-02509    ,12.404258946053025,-3.737427444882669,-38.534360339674954,-3.73753058179048,-38.53440435808922
08-10291    ,08-10294    ,12.419351915227317,-3.7393369262582414,-38.53972683666,-3.73943516224818,-38.539672559688796
08-00779    ,08-08786    ,12.42241547566334,-3.7428065807189212,-38.537821425163884,-3.74288795959732,-38.537744272604
08-00788    ,08-07811    ,12.462600300499089,-3.7432947298290378,-38.53712436562918,-3.743385160629769,-38.53705733944331
15-05321    ,15-05322    ,12.619185152098476,-3.745240955734277,-38.53732336418216,-3.7453303648495786,-38.53739402619204
08-09470    ,08-10409    ,12.624169106747091,-3.7453430622743515,-38.543124837272096,-3.7453618658323022,-38.543012700997124
08-05201    ,08-09624    ,12.649031192653236,-3.7378872887375176,-38.536377280971365,-3.7379696616480964,-38.536298211891214
08-09602    ,08-10346    ,12.765711676941844,-3.738550026386571,-38.538514750989435,-3.7384902166844483,-38.538613094314165
08-00047    ,08-02555    ,12.827125798478784,-3.743123258925645,-38.53790850031267,-3.7431685483374206,-38.53801485450513
08-10290    ,08-10295    ,12.858373064200432,-3.7391744858251506,-38.539556801170676,-3.7392876904443564,-38.53953016057129
08-04955    ,08-10354    ,12.86101695165318,-3.73692596516519,-38.537246466345515,-3.7370304358638675,-38.53719548473661
08-10287    ,08-10297    ,12.89326142413296,-3.738862432837961,-38.53925074825178,-3.738971359592033,-38.53920922467461
15-08466    ,15-08513    ,12.937353083829857,-3.748190739006106,-38.53581222224278,-3.7482954633218855,-38.53586424454763
08-07854    ,08-07880    ,12.945951345884165,-3.7429783010895292,-38.53750839274648,-3.742942055867562,-38.537397531096026
08-09477    ,15-05369    ,12.984976896045517,-3.746453278976782,-38.54195892976214,-3.7464002199765667,-38.54185460072561
08-05099    ,08-07770    ,12.995792588372591,-3.741306723207255,-38.54139740349511,-3.7412253477827564,-38.54148187258721
08-02540    ,08-02548    ,13.002403623945844,-3.7440997031776093,-38.53679073768579,-3.7441720272468926,-38.53669839281175
08-08726    ,08-08780    ,13.003614750165818,-3.742878854295466,-38.537633396718704,-3.7428068031546844,-38.537540826985065
08-05254    ,08-10350    ,13.062435998019538,-3.7378851722409925,-38.53774576803766,-3.737808350217559,-38.53783515256831
08-07811    ,08-07829    ,13.084013384661452,-3.743385160629769,-38.53705733944331,-3.74347558665024,-38.536981307704714
15-05321    ,15-05324    ,13.096876636210371,-3.745240955734277,-38.53732336418216,-3.7451312778691728,-38.53727874699883
08-02557    ,08-02569    ,13.105938539456073,-3.742662172316663,-38.53846033093591,-3.7427617191509284,-38.53852444326934
08-09479    ,15-04224    ,13.122733790678447,-3.746678906845404,-38.54172667019722,-3.746581050427863,-38.54165976103136
